id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
29	accountability	-0.4621	0.596	3	15	24	14	2007.8571	24.0714	0.5654
119	agriculture	-0.9539	-0.5361	2	10	14	14	2007.8571	24.3571	0.5772
234	australia	-0.3889	-0.6896	2	21	29	21	2007.6667	27.7143	0.6355
281	banking	0.6668	-0.1952	4	20	30	14	2007.7857	59.1429	1.3723
284	banks	0.8799	-0.0079	1	15	25	11	2007.1818	68.2727	1.5006
447	business ethics	0.7241	0.2606	1	46	156	81	2007.6914	34.8519	0.8347
537	case studies	0.0732	-0.731	4	22	33	15	2007.6667	100.2667	2.5403
538	case study	-0.7105	0.197	2	10	16	13	2007.7692	39.1538	1.0339
580	certification	-1.0408	0.1088	3	13	16	11	2007.2727	77.8182	1.7801
611	china	0.1643	0.6805	1	31	69	51	2008.1176	41	1.059
658	climate change	-0.867	0.1722	2	15	25	24	2008.0833	55.75	1.3903
687	codes of conduct	-0.0838	0.8949	1	11	23	11	2007.1818	40.8182	0.9606
731	communication	-0.2393	0.0626	1	16	24	13	2007.4615	35.8462	0.8981
739	community	-0.8215	0.3378	3	13	14	10	2007.2	55.3	1.2244
781	competitive advantage	-0.0732	-0.7507	2	13	24	17	2008.1176	44.0588	1.0085
854	consumer behavior	0.2778	-0.5435	2	16	22	14	2007.7857	92.9286	2.3034
871	consumption	-0.8164	-0.2826	2	11	15	10	2007.2	71.9	1.6112
927	corporate citizenship	0.4513	0.8967	1	10	25	16	2008.375	47.5625	1.3036
931	corporate communications	1.0545	0.0304	1	15	31	16	2007.6875	61.375	1.5218
951	corporate governance	0.4702	0.6305	1	48	133	79	2007.5443	34.9114	0.8527
955	corporate identity	0.9522	0.0896	1	10	26	14	2007.5714	66.4286	1.5269
956	corporate image	0.9769	-0.2256	4	30	58	24	2007.875	20.3333	0.4948
974	corporate responsibility	-0.6686	0.5488	2	16	33	18	2007.8333	45.2778	1.0784
984	corporate social performance	0.0406	0.9726	1	19	38	22	2007.7273	70	1.7186
